Name,Stadt,Type,Land,Kontakt,Name
STV Weiden,Weiden,Stadt,Bayern,N,
LRA Amberg-Sulzbach,Amberg-Sulzbach,Stadt,Bayern,N,
LRA Cham,Cham,Stadt,Bayern,N,
LRA Neumarkt i.d. OPf.,Neumarkt in der Oberpfalz,Stadt,Bayern,N,
LRA Neustadt/Waldnaab,Neustadt an der Waldnaab,Stadt,Bayern,N,
LRA Regensburg,Regensburg,Stadt,Bayern,N,
LRA Tirschenreuth,Tirschenreuth,Stadt,Bayern,N,
STV Bamberg,Bamberg,Stadt,Bayern,N,
STV Bayreuth,Bayreuth,Stadt,Bayern,N,
STV Coburg,Coburg,Stadt,Bayern,N,
STV Hof,Hof,Stadt,Bayern,N,
LRA Bamberg,Bamberg,Stadt,Bayern,N,
LRA Bayreuth,Bayreuth,Stadt,Bayern,N,
LRA Coburg,Coburg,Stadt,Bayern,N,
LRA Forchheim,Forchheim,Stadt,Bayern,N,
LRA Hof,Hof,Stadt,Bayern,N,
LRA Kronach,Kronach,Stadt,Bayern,N,
LRA Kulmbach,Kulmbach,Stadt,Bayern,N,
LRA Lichtenfels,Lichtenfels,Stadt,Bayern,N,
LRA Wunsiedel i.F.,Wunsiedel i,Stadt,Bayern,N,
STV Ansbach,Ansbach,Stadt,Bayern,N,
STV Erlangen,Erlangen,Stadt,Bayern,N,
STV Fürth,Fürth,Stadt,Bayern,N,
STV Nürnberg,Nürnberg,Stadt,Bayern,N,
STV Schwabach,Schwabach,Stadt,Bayern,N,
LRA Ansbach,Ansbach,Stadt,Bayern,N,
LRA Erlangen-Höchstadt,Erlangen-Höchstadt,Stadt,Bayern,N,
LRA Fürth,Fürth,Stadt,Bayern,N,
LRA Nürnberger Land,Nürnberger Land,Stadt,Bayern,N,
LRA Neustadt / Bad Windsheim,Neustadt (Aisch)-Bad Windsheim,Stadt,Bayern,N,
LRA Weißenburg-Gunzenhausen,Weißenburg-Gunzenhausen,Stadt,Bayern,N,
STV Aschaffenburg,Aschaffenburg,Stadt,Bayern,N,
STV Schweinfurt,Schweinfurt,Stadt,Bayern,N,
STV Würzburg,Würzburg,Stadt,Bayern,N,
LRA Aschaffenburg,Aschaffenburg,Stadt,Bayern,N,
LRA Bad Kissingen,Bad Kissingen,Stadt,Bayern,N,
LRA Rhön-Grabfeld,Rhön-Grabfeld,Stadt,Bayern,N,
LRA Kitzingen,Kitzingen,Stadt,Bayern,N,
LRA Miltenberg,Miltenberg,Stadt,Bayern,N,
LRA Schweinfurt,Schweinfurt,Stadt,Bayern,N,
ZAB Unterfranken,Unterfranken,Stadt,Bayern,N,
LRA Würzburg,Würzburg,Stadt,Bayern,N,
STV Augsburg,Augsburg,Stadt,Bayern,N,
STV Kaufbeuren,Kaufbeuren,Stadt,Bayern,N,
STV Kempten,Kempten,Stadt,Bayern,N,
STV Memmingen,Memmingen,Stadt,Bayern,N,
LRA Dillingen,Dillingen,Stadt,Bayern,N,
LRA Lindau / Bodensee,Lindau,Stadt,Bayern,N,
LRA Ostallgäu,Ostallgäu,Stadt,Bayern,N,
LRA Unterallgäu,Unterallgäu,Stadt,Bayern,N,
LRA Berchtesgadener Land,Berchtesgadener Land,Stadt,Bayern,N,
LRA Eichstätt,Eichstätt,Stadt,Bayern,N,
LRA Neuburg-Schrobenhausen,Neuburg-Schrobenhausen,Stadt,Bayern,N,
LRA Freyung-Grafenau,Freyung-Grafenau,Stadt,Bayern,N,
LRA Rottal-Inn,Rottal-Inn,Stadt,Bayern,N,
LRA Straubing-Bogen,Straubing-Bogen,Stadt,Bayern,N,
LRA Dingolfing-Landau,Dingolfing-Landau,Stadt,Bayern,N,
LRA Schwandorf,Schwandorf,Stadt,Bayern,N,
LRA Roth,Roth,Stadt,Bayern,N,
LRA Haßberge,Haßberge,Stadt,Bayern,N,
LRA Main-Spessart-Kreis,Main-Spessart-Kreis,Landkreis,Bayern,N,
LRA Aichach-Friedberg,Aichach-Friedberg,Stadt,Bayern,N,
LRA Augsburg,Augsburg,Stadt,Bayern,N,
LRA Günzburg,Günzburg,Stadt,Bayern,N,
LRA Neu-Ulm,Neu-Ulm,Stadt,Bayern,N,
LRA Donau-Ries,Donau-Ries,Stadt,Bayern,N,
LRA Oberallgäu,Oberallgäu,Stadt,Bayern,N,
LfAR Bayern,Bavaria,Stadt,Bayern,N,
LfAR Bayern - Zentralstelle Ausländerextremismus,Bavaria,Stadt,Bayern,N,
Regierung von Oberbayern,von Oberbayern,Stadt,Bayern,N,
ZAB Schwaben Augsburg,Schwaben Augsburg,Stadt,Bayern,N,
ZAB Oberpfalz,Oberpfalz,Stadt,Bayern,N,
LAF Berlin (ABH),Berlin,Stadt,Berlin,N,
LEA Berlin,Berlin,Stadt,Berlin,N,
LRA Potsdam - Mittelmark,Potsdam-Mittelmark,Stadt,Brandenburg,N,
KRV Prignitz,Prignitz,Stadt,Brandenburg,N,
LKR Uckermark,Uckermark,Stadt,Brandenburg,N,
STV Brandenburg,Brandenburg,Stadt,Brandenburg,N,
KRV Teltow-Fläming,Teltow-Fläming,Stadt,Brandenburg,N,
KRV Ostprignitz - Ruppin,Ostprignitz-Ruppin,Stadt,Brandenburg,N,
LKR Oberhavel,Oberhavel,Stadt,Brandenburg,N,
STV Potsdam,Potsdam-Mittelmark,Stadt,Brandenburg,N,
KRV Havelland,Havelland,Stadt,Brandenburg,N,
KRV Oder-Spree,Oder-Spree,Stadt,Brandenburg,N,
LKR Barnim,Barnim,Stadt,Brandenburg,N,
ZABH und EAE Brandenburg,und EAE Brandenburg,Stadt,Brandenburg,N,
STV Frankfurt/Oder,Frankfurt,Stadt,Brandenburg,N,
LKR Märkisch-Oderland,Märkisch-Oderland,Stadt,Brandenburg,N,
STV Schwedt,Schwedt,Stadt,Brandenburg,N,
StV Cottbus,Cottbus,Stadt,Brandenburg,N,
LKR Elbe-Elster,Elbe-Elster,Stadt,Brandenburg,N,
KRV Dahme - Spreewald,Dahme-Spreewald,Stadt,Brandenburg,N,
LKR Oberspreewald-Lausitz,Oberspreewald-Lausitz,Stadt,Brandenburg,N,
ZAST Bremen,Bremen,Stadt,Bremen,N,
STV Bremen,Bremen,Stadt,Bremen,N,
Freie Hansestadt Bremen,Bremen,Stadt,Bremen,N,
STV Bremerhaven,Bremerhaven,Stadt,Bremen,N,
Stadt Hamburg - BIS (Ausländerbehörde),Hamburg,Stadt,Hamburg,N,
ZAB Regierungspräsidium Kassel,Regierungspräsidium Kassel,Stadt,Hessen,N,
ABH Darmstadt,Darmstadt,Stadt,Hessen,N,
OB Frankfurt am Main,Frankfurt,Stadt,Hessen,N,
ABH Frankfurt am Main - Stadtpolizei ,Frankfurt,Stadt,Hessen,N,
ABH STV und KRV Kassel,STV und KRV Kassel,Stadt,Hessen,N,
OB Offenbach am Main,Offenbach am Main,Stadt,Hessen,N,
OB Wiesbaden,Wiesbaden,Stadt,Hessen,N,
STV Gießen,Gießen,Stadt,Hessen,N,
RP Darmstadt,Darmstadt,Stadt,Hessen,N,
LR Kreis Bergstraße,Bergstraße,Stadt,Hessen,N,
LK Darmstadt-Dieburg,Darmstadt-Dieburg,Stadt,Hessen,N,
LR Odenwaldkreis,Odenwaldkreis,Landkreis,Hessen,N,
LR Wetteraukreis,Wetteraukreis,Landkreis,Hessen,N,
LRA Gießen,Gießen,Stadt,Hessen,N,
LR Kreis Groß-Gerau,Groß-Gerau,Stadt,Hessen,N,
LRA Vogelsbergkreis,Vogelsbergkreis,Landkreis,Hessen,N,
LR Kreis Offenbach,Offenbach,Stadt,Hessen,N,
LRA Werra-Meissner-Kreis,Werra-Meissner-Kreis,Landkreis,Hessen,N,
LRA Schwalm-Eder-Kreis,Schwalm-Eder-Kreis,Landkreis,Hessen,N,
LKR Fulda,Fulda,Stadt,Hessen,N,
LRA Hersfeld-Rotenburg,Hersfeld-Rotenburg,Stadt,Hessen,N,
ABH Marburg-Biedenkopf (HS Marburg),Marburg-Biedenkopf (HS Marburg,Stadt,Hessen,N,
